Symbol,profitMargins,revenueGrowth,returnOnEquity,Sector,Industry
MMM,17.294,9.6,47.467998,Industrials,Conglomerates
ABBV,10.278,50.9,163.56399,Healthcare,Drug Manufacturers - General
ABMD,26.610002,16.7,18.832001,N/A,N/A
ACN,12.051,20.7,32.209998,Technology,Information Technology Services
ATVI,26.957,27.200000000000003,16.302,N/A,N/A
ADBE,38.794,22.6,45.138,Technology,Software - Infrastructure
AMD,25.241000000000003,92.9,60.605,Technology,Semiconductors
AAP,5.9169997,23.4,18.054001,Consumer Cyclical,Specialty Retail
AES,-2.471,12.7,-2.0750001,Utilities,Utilities - Diversified
AFL,24.088,13.7,18.819,Financial Services,Insurance - Life
A,15.902,23.200000000000003,19.315,Healthcare,Diagnostics & Research
APD,20.387,12.9,15.329,Basic Materials,Specialty Chemicals
AKAM,17.995001,10.3,14.752,Technology,Software - Infrastructure
ALK,-15.967,262.7,-17.035,Industrials,Airlines
ALB,11.314,12.2,8.828,Basic Materials,Specialty Chemicals
ARE,39.029998,10.7,6.398,Real Estate,REIT - Office
ALGN,16.27,62.4,14.668,Healthcare,Medical Instruments & Supplies
ALLE,16.117,26.700000000000003,63.691,Industrials,Security & Protection Services
LNT,18.083,-1.6,10.541,Utilities,Utilities - Regulated Electric
ALL,7.696,26.200000000000003,28.039,Financial Services,Insurance - Property & Casualty
GOOGL,26.115,34.4,23.687,Communication Services,Internet Content & Information
GOOG,26.115,34.4,23.687,Communication Services,Internet Content & Information
MO,20.987,-3.3000000000000003,89.083,Consumer Defensive,Tobacco
AMZN,6.419,43.8,31.915,Consumer Cyclical,Internet Retail
AMCR,6.877999999999999,2.1,18.285999,Consumer Cyclical,Packaging & Containers
AEE,16.923,8.799999999999999,11.015,Utilities,Utilities - Regulated Electric
AEP,14.807001,9.5,11.129,Utilities,Utilities - Regulated Electric
AXP,18.424,77.3,30.154,Financial Services,Credit Services
AIG,-8.845,-1.2,-5.673,Financial Services,Insurance - Diversified
AMT,23.402001,8.3,42.044997,Real Estate,REIT - Specialty
AWK,18.791,5.2,11.196,Utilities,Utilities - Regulated Water
AMP,-0.529,10.9,-1.0659999999999998,Financial Services,Asset Management
ABC,-1.909,3.7,-207.894,N/A,N/A
AME,17.811,1.1,14.171,Industrials,Specialty Industrial Machinery
AMGN,28.155002,-4.2,75.295997,Healthcare,Drug Manufacturers - General
APH,14.163999999999998,27.700000000000003,26.123,Technology,Electronic Components
ADI,25.162000000000003,26.1,13.137999,Technology,Semiconductors
ANSS,26.455998,19.1,12.4309994,Technology,Software - Application
ANTM,3.274,15.7,12.204,N/A,N/A
AON,18.554,9.5,56.659000000000006,Financial Services,Insurance Brokers
AOS,12.911999,20.7,22.561,Industrials,Specialty Industrial Machinery
APA,0.161,42.4,48.766,Energy,Oil & Gas E&P
AAPL,23.451,53.6,103.4,Technology,Consumer Electronics
AMAT,22.353001,41.1,42.174998,Technology,Semiconductor Equipment & Materials
APTV,3.801,24.7,8.266,Consumer Cyclical,Auto Parts
ADM,3.032,26.200000000000003,10.423,Consumer Defensive,Farm Products
ANET,27.477,27.6,21.475,Technology,Computer Hardware
AJG,12.066,16.6,15.13,Financial Services,Insurance Brokers
AIZ,4.468,-0.7000000000000001,7.895,Financial Services,Insurance - Property & Casualty
T,-1.1059999500000002,7.6,-0.28400002,Communication Services,Telecom Services
ATO,21.789,34.9,9.877,Utilities,Utilities - Regulated Gas
ADSK,33.315,11.7,262.266,Technology,Software - Application
ADP,16.878,1.3,44.280997,Technology,Software - Application
AVB,35.643002,-8.7,7.430000000000001,Real Estate,REIT - Residential
AVY,8.647,19.1,45.817003,Consumer Cyclical,Packaging & Containers
BKR,-0.18600001,8.6,-0.0060000002,Energy,Oil & Gas Equipment & Services
BLL,6.287,12.2,24.272,N/A,N/A
BAC,31.840000000000003,34.2,10.18,Financial Services,Banks - Diversified
BK,23.136000000000003,4.6,8.151,Financial Services,Banks - Diversified
BAX,9.038,5.1,13.28,Healthcare,Medical Instruments & Supplies
BDX,9.093001,15.4,7.492999999999999,Healthcare,Medical Instruments & Supplies
BBY,4.438000000000001,35.9,59.037995,Consumer Cyclical,Specialty Retail
BIO,151.726,27.1,48.488,Healthcare,Medical Devices
BIIB,16.397000000000002,-24.6,22.143999,Healthcare,Drug Manufacturers - General
BKNG,12.445,-50.1,16.358,Consumer Cyclical,Travel Services
BWA,3.665,75.9,9.099,Consumer Cyclical,Auto Parts
BXP,17.566000000000003,-5.9,6.805,Real Estate,REIT - Office
BSX,2.4500001,8.200000000000001,1.68,Healthcare,Medical Devices
BMY,-14.527,2.7,-14.147000000000002,Healthcare,Drug Manufacturers - General
AVGO,19.108999,15.1,20.377001,Technology,Semiconductors
BR,10.7130006,11.2,37.023,Technology,Information Technology Services
CHRW,3.496,26.3,34.820998,Industrials,Integrated Freight & Logistics
COG,18.105,27.700000000000003,12.202,N/A,N/A
CDNS,23.343,19.1,27.82,Technology,Software - Application
CZR,-42.711,260.3,-72.277,Consumer Cyclical,Resorts & Casinos
CPB,9.184,-11.3,28.910000000000004,Consumer Defensive,Packaged Foods
CAH,0.735,0.3,76.932997,Healthcare,Medical Distribution
KMX,4.7940000000000005,128.1,28.465,Consumer Cyclical,Auto & Truck Dealerships
CCL,0.0,-93.4,-47.143,Consumer Cyclical,Travel Services
CARR,12.427,20.9,46.648,Industrials,Building Products & Equipment
CTLT,14.819,38.5,16.218,Healthcare,Drug Manufacturers - Specialty & Generic
CAT,7.991,11.8,22.304001,Industrials,Farm & Heavy Construction Machinery
CBOE,12.740000000000002,9.7,13.345,Financial Services,Financial Data & Stock Exchanges
CBRE,3.543,0.8,12.315,Real Estate,Real Estate Services
CDW,4.511000200000001,10.2,82.83500000000001,Technology,Information Technology Services
CE,34.857,23.200000000000003,62.316,Basic Materials,Chemicals
CNC,2.276,16.400000000000002,9.736,Healthcare,Healthcare Plans
CNP,10.118,17.5,10.519,Utilities,Utilities - Regulated Electric
CERN,14.688,-1.7000000000000002,19.697,N/A,N/A
CF,9.521,7.9,9.32,Basic Materials,Agricultural Inputs
CRL,12.332,16.6,19.426,Healthcare,Diagnostics & Research
SCHW,28.879,84.8,10.3760004,Financial Services,Capital Markets
CHTR,7.431999999999999,6.7,12.926000000000002,Communication Services,Telecom Services
CVX,-8.1020005,4.6,-5.574,Energy,Oil & Gas Integrated
CMG,6.436,23.4,21.566,Consumer Cyclical,Restaurants
CB,14.538999,30.5,10.031,Financial Services,Insurance - Property & Casualty
CHD,15.630999,6.3,25.768998,Consumer Defensive,Household & Personal Products
CI,5.172000000000001,6.800000000000001,18.152,Healthcare,Healthcare Plans
CTAS,15.611,13.3,32.095,Industrials,Specialty Business Services
CSCO,20.919001,6.800000000000001,26.92,Technology,Communication Equipment
C,25.375,45.1,8.345999599999999,Financial Services,Banks - Diversified
CFG,30.897,41.7,8.895999999999999,Financial Services,Banks - Regional
CTXS,13.113,-9.9,2686.812,N/A,N/A
CLX,12.271,-0.1,113.778,Consumer Defensive,Household & Personal Products
CME,41.572,-17.599999999999998,7.202999999999999,Financial Services,Financial Data & Stock Exchanges
CMS,12.48,11.7,14.768999999999998,Utilities,Utilities - Regulated Electric
KO,21.586001,4.9,34.283,Consumer Defensive,Beverages - Non-Alcoholic
CTSH,9.092,4.2,14.134,Technology,Information Technology Services
CL,15.917,6.0,565.7370000000001,Consumer Defensive,Household & Personal Products
CMCSA,11.248,2.2,13.173000000000002,Communication Services,Telecom Services
CMA,30.126,164.0,11.354,Financial Services,Banks - Regional
CAG,10.148,8.5,14.725,Consumer Defensive,Packaged Foods
COP,0.088,55.60000000000001,0.102,Energy,Oil & Gas E&P
ED,9.024,13.7,6.2090002,Utilities,Utilities - Regulated Electric
STZ,23.191999,2.6,15.39,Consumer Defensive,Beverages - Brewers
COO,88.53999999999999,37.1,48.109,Healthcare,Medical Instruments & Supplies
CPRT,34.260000000000005,33.4,30.596,Industrials,Specialty Business Services
GLW,9.892,37.6,9.34,Technology,Electronic Components
CTVA,6.988,5.6000000000000005,4.454000000000001,Basic Materials,Agricultural Inputs
COST,2.5320001000000003,21.5,28.024998,Consumer Defensive,Discount Stores
CCI,15.735,4.5,10.418,Real Estate,REIT - Specialty
CSX,25.624,-1.5,21.566999,Industrials,Railroads
CMI,9.003,21.6,22.218001,Industrials,Specialty Industrial Machinery
CVS,2.7379999,3.3000000000000003,10.8509995,Healthcare,Healthcare Plans
DHI,13.161,43.3,26.598,Consumer Cyclical,Residential Construction
DHR,20.999001,36.3,13.98,Healthcare,Diagnostics & Research
DRI,8.745,79.5,24.586001,Consumer Cyclical,Restaurants
DVA,6.691,-0.7000000000000001,33.138,Healthcare,Medical Care Facilities
DE,11.512,30.3,33.997001999999995,Industrials,Farm & Heavy Construction Machinery
DAL,-102.964,-51.7,-176.16099,Industrials,Airlines
XRAY,4.9790002,17.5,3.6170002,Healthcare,Medical Instruments & Supplies
DVN,-12.134,65.8,-10.170999,Energy,Oil & Gas E&P
DXCM,25.363000000000003,24.7,36.227,Healthcare,Medical Devices
FANG,-136.951,31.3,-31.184,Energy,Oil & Gas E&P
DLR,12.432,43.4,2.97,Real Estate,REIT - Specialty
DFS,34.794000000000004,192.3,25.620002,Financial Services,Credit Services
DISCA,9.109,4.1000000000000005,9.5,N/A,N/A
DISCK,9.109,4.1000000000000005,9.5,N/A,N/A
DISH,13.83,39.8,18.400998,N/A,N/A
DG,7.960000000000001,-0.6,39.858,Consumer Defensive,Discount Stores
DLTR,5.7150003,3.1,21.084999,Consumer Defensive,Discount Stores
D,6.2179998,-1.7000000000000002,9.2860006,Utilities,Utilities - Regulated Electric
DOV,10.73,12.8,22.838,Industrials,Specialty Industrial Machinery
DOW,4.863,21.6,14.573,Basic Materials,Chemicals
DTE,11.018,25.0,11.545999,Utilities,Utilities - Regulated Electric
DUK,5.8709998,-5.3,2.2130001,Utilities,Utilities - Regulated Electric
DRE,33.688998,27.9,7.063,N/A,N/A
DD,14.776,8.3,-5.258,Basic Materials,Specialty Chemicals
DXC,-15.673,-14.6,-37.666,Technology,Information Technology Services
EMN,5.717,7.5,8.089,Basic Materials,Specialty Chemicals
ETN,8.051,-2.0,9.794,Industrials,Specialty Industrial Machinery
EBAY,25.937998,42.0,91.079,Consumer Cyclical,Internet Retail
ECL,-11.111,-4.5,11.659,Basic Materials,Specialty Chemicals
EIX,5.928,6.1,4.974,Utilities,Utilities - Regulated Electric
EW,19.02,7.8,19.884,Healthcare,Medical Devices
EA,20.794001,5.0,15.512999999999998,Communication Services,Electronic Gaming & Multimedia
EMR,12.470999,6.5,25.766,Industrials,Specialty Industrial Machinery
ENPH,11.113,46.8,18.447,Technology,Solar
ETR,15.232,17.2,14.751,Utilities,Utilities - Regulated Electric
EOG,-6.085999999999999,-31.9,-2.883,Energy,Oil & Gas E&P
EFX,13.8,26.6,21.093,Industrials,Consulting Services
EQIX,6.662,10.5,4.231,Real Estate,REIT - Specialty
EQR,26.641,-12.4,6.25,Real Estate,REIT - Residential
ESS,27.868,-10.0,7.0489995,Real Estate,REIT - Residential
EL,9.45,15.5,28.257,Consumer Defensive,Household & Personal Products
ETSY,23.459,141.5,88.113,Consumer Cyclical,Internet Retail
EVRG,13.691,44.3,8.698,Utilities,Utilities - Regulated Electric
ES,13.216,19.0,8.9650005,Utilities,Utilities - Regulated Electric
RE,8.121,37.2,9.192,N/A,N/A
EXC,3.195,13.1,3.813,Utilities,Utilities - Regulated Electric
EXPE,-44.594002,-43.6,-51.322,Consumer Cyclical,Travel Services
EXPD,7.439999999999999,76.5,35.127,Industrials,Integrated Freight & Logistics
EXR,40.984002,8.4,20.261998,Real Estate,REIT - Industrial
XOM,-10.4899995,4.1000000000000005,-11.158,Energy,Oil & Gas Integrated
FFIV,11.283,10.6,13.902001,Technology,Software - Infrastructure
FB,35.743,47.6,28.24,N/A,N/A
FAST,15.219,3.7,31.859,Industrials,Industrial Distribution
FRT,15.381,-5.9,4.696,Real Estate,REIT - Retail
FDX,6.23,30.0,24.638,Industrials,Integrated Freight & Logistics
FIS,-1.811,4.7,-0.457,Technology,Information Technology Services
FITB,27.999002,67.9,9.332,Financial Services,Banks - Regional
FE,12.613,0.6,18.541001,Utilities,Utilities - Regulated Electric
FRC,29.106,34.599999999999994,10.130999,N/A,N/A
FISV,5.863,-0.4,2.7590001,N/A,N/A
FLT,29.479,-11.7,19.93,N/A,N/A
FMC,11.507,-4.4,19.409999,Basic Materials,Agricultural Inputs
F,3.081,5.6000000000000005,12.498,Consumer Cyclical,Auto Manufacturers
FTNT,18.009000999999998,23.0,64.742,Technology,Software - Infrastructure
FTV,35.139,13.6,18.551001,Technology,Scientific & Technical Instruments
FBHS,9.6269995,26.3,23.603001000000003,N/A,N/A
FOXA,16.233998999999997,-6.5,19.115,Communication Services,Entertainment
FOX,16.233998999999997,-6.5,19.115,Communication Services,Entertainment
BEN,15.803,58.4,10.745,Financial Services,Asset Management
FCX,11.1260004,73.3,12.956999,Basic Materials,Copper
GPS,2.7609998,89.4,16.904,N/A,N/A
GRMN,23.875,25.3,19.74,Technology,Scientific & Technical Instruments
IT,8.501001,8.4,39.93,Technology,Information Technology Services
GNRC,16.157,69.69999999999999,33.971000000000004,Industrials,Specialty Industrial Machinery
GD,8.217,7.3,22.207001,Industrials,Aerospace & Defense
GE,-4.2680003,-12.2,-1.35,Industrials,Aerospace & Defense
GIS,13.683,8.1,28.303,Consumer Defensive,Packaged Foods
GM,7.4889995,-0.7000000000000001,18.325001,Consumer Cyclical,Auto Manufacturers
GPC,0.308,9.1,7.657000399999999,Consumer Cyclical,Auto Parts
GILD,1.1770001,15.8,1.327,Healthcare,Drug Manufacturers - General
GPN,8.49,4.5,2.402,Industrials,Specialty Business Services
GS,29.325000000000003,127.7,15.637,Financial Services,Capital Markets
GWW,6.397,2.8000000000000003,40.146,Industrials,Industrial Distribution
HAL,-13.670999,-31.5,-29.213,Energy,Oil & Gas Equipment & Services
HBI,-4.749,25.3,7.026000000000001,Consumer Cyclical,Apparel Manufacturing
HIG,8.221,6.9,10.3920005,Financial Services,Insurance - Property & Casualty
HAS,7.46,0.8,14.23,Consumer Cyclical,Leisure
HCA,8.7290004,8.7,592.35497,Healthcare,Medical Care Facilities
PEAK,16.303,19.5,-1.417,N/A,N/A
HSIC,4.141,20.4,11.0360004,Healthcare,Medical Distribution
HSY,16.690001,12.7,71.255,Consumer Defensive,Confectioners
HES,-8.012,41.8,-1.849,Energy,Oil & Gas E&P
HPE,2.3510002,11.5,3.943,Technology,Communication Equipment
HOLX,35.865003,103.4,64.646006,Healthcare,Medical Instruments & Supplies
HON,14.647001,17.8,27.637,Industrials,Conglomerates
HRL,8.994000400000001,7.6,13.799,Consumer Defensive,Packaged Foods
HST,-93.524003,-61.4,-13.271,Real Estate,REIT - Hotel & Motel
HWM,2.607,-26.0,3.263,Industrials,Aerospace & Defense
HUM,4.718,9.2,28.043000000000003,Healthcare,Healthcare Plans
HBAN,29.073,100.6,10.257,Financial Services,Banks - Regional
HII,7.1669996,0.7000000000000001,37.105998,Industrials,Aerospace & Defense
IEX,16.125,9.7,16.052,Industrials,Specialty Industrial Machinery
IDXX,23.59,24.2,166.25301,Healthcare,Diagnostics & Research
INFO,13.885,15.1,7.298,N/A,N/A
ITW,17.176001,9.8,79.64,Industrials,Specialty Industrial Machinery
ILMN,18.14,27.200000000000003,13.184,Healthcare,Diagnostics & Research
INCY,17.702,6.4,20.511,Healthcare,Biotechnology
IR,-1.5579999,94.7,1.318,Industrials,Specialty Industrial Machinery
INTC,23.906,-0.5,22.193001,Technology,Semiconductors
ICE,33.231997,15.3,11.306,Financial Services,Financial Data & Stock Exchanges
IBM,7.278,0.8999999999999999,25.364,Technology,Information Technology Services
IP,4.721,0.2,13.286,Consumer Cyclical,Packaging & Containers
IPG,5.395,2.8000000000000003,15.479,Communication Services,Advertising Agencies
IFF,3.18,83.0,1.4450001,Basic Materials,Specialty Chemicals
INTU,23.931,39.0,28.948998,Technology,Software - Application
ISRG,25.783002,17.5,12.668,Healthcare,Medical Instruments & Supplies
IVZ,15.273,3.8,7.184,Financial Services,Asset Management
IPGP,13.29,9.8,6.418,Technology,Semiconductor Equipment & Materials
IQV,3.404,23.8,7.21,Healthcare,Diagnostics & Research
IRM,7.795000000000001,1.2,29.433,Real Estate,REIT - Specialty
JKHY,17.222,1.0,20.92,Technology,Information Technology Services
J,4.34,3.5000000000000004,8.028,Industrials,Engineering & Construction
JBHT,5.4920003,14.8,21.892999,Industrials,Integrated Freight & Logistics
SJM,10.95,-8.200000000000001,10.742,Consumer Defensive,Packaged Foods
JCI,4.736,2.8000000000000003,6.0089998,Industrials,Building Products & Equipment
JPM,37.177,45.6,17.365,Financial Services,Banks - Diversified
JNPR,4.563,7.7,4.678,Technology,Communication Equipment
KSU,4.6290003,36.8,2.9770000000000003,N/A,N/A
K,9.1230005,5.0,37.425,Consumer Defensive,Packaged Foods
KEY,28.413,67.10000000000001,10.284001,Financial Services,Banks - Regional
KEYS,16.213,36.4,22.655001,Technology,Scientific & Technical Instruments
KMB,10.5299994,2.4,324.50101,Consumer Defensive,Household & Personal Products
KIM,99.83,-2.6,19.816,Real Estate,REIT - Retail
KMI,13.284999,67.80000000000001,5.612,Energy,Oil & Gas Midstream
KLAC,28.771,26.700000000000003,68.209,Technology,Semiconductor Equipment & Materials
KHC,2.0469999,3.8,1.079,Consumer Defensive,Packaged Foods
KR,1.14400005,-0.6,16.371,Consumer Defensive,Grocery Stores
LHX,7.553999999999999,-1.3,6.3990004,Industrials,Aerospace & Defense
LH,17.256,47.4,30.958,Healthcare,Diagnostics & Research
LRCX,26.072,53.7,69.843,Technology,Semiconductor Equipment & Materials
LW,7.142,-4.4,69.435996,Consumer Defensive,Packaged Foods
LVS,-57.859004000000006,-15.6,-53.995997,Consumer Cyclical,Resorts & Casinos
LEG,6.635000600000001,10.1,21.605,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LDOS,5.643,14.7,19.594,Technology,Information Technology Services
LEN,13.831,21.6,18.791,Consumer Cyclical,Residential Construction
LLY,23.906,16.1,118.341,Healthcare,Drug Manufacturers - General
LNC,3.829,2.5,3.716,Financial Services,Insurance - Life
LIN,10.479999,7.5,6.394,Basic Materials,Specialty Chemicals
LYV,-234.952,-78.7,-251.127,Communication Services,Entertainment
LKQ,6.4350000000000005,5.7,13.951,Consumer Cyclical,Auto Parts
LMT,10.5340004,3.9,142.72901,Industrials,Aerospace & Defense
L,-0.291,16.900000000000002,0.244,Financial Services,Insurance - Property & Casualty
LOW,7.228000499999999,24.1,631.097,Consumer Cyclical,Home Improvement Retail
LUMN,-5.2210003,-3.8,-8.708999,Communication Services,Telecom Services
LYB,7.9959996,21.2,28.69,Basic Materials,Specialty Chemicals
MTB,30.346,31.4,10.706,Financial Services,Banks - Regional
MRO,-39.988,14.499999999999998,-11.5600005,N/A,N/A
MPC,-1.184,2.5,-2.646,Energy,Oil & Gas Refining & Marketing
MKTX,40.791,-4.6,30.762,Financial Services,Capital Markets
